url,label
https://secure-login-google-authentication.center/session,1
https://wallet-paypal-protection-alerts.page/update,1
https://signin-microsoft-accountverify.help/recover,1
https://verify-appleid-security-alerts.live/confirm,1
https://account-amazon-billing-warning.center/review,1
https://bankofamerica-security-notice-info.top/secure,1
https://netflix-member-update-billing.help/login,1
https://dropbox-documents-shared-authenticate.site/open,1
https://xn--paypl-3ve.com/secure,1
https://goog1e-services-authentication.top/login,1
https://github.com/login,0
https://accounts.google.com/signin/v2/identifier,0
https://support.apple.com/en-us/HT201209,0
https://www.microsoft.com/en-us/security,0
https://www.amazon.com/gp/help/customer/display.html,0
https://www.paypal.com/us/webapps/mpp/security,0
https://www.bankofamerica.com/security-center/overview/,0
https://www.linkedin.com/help/linkedin,0
https://www.dropbox.com/features/security,0
https://www.netflix.com/browse,0
